ID,A2020
I40,3.6341024595938896
I67,2.961392263249091
I72,3.6445312618385715
I19,3.26282831973106
I61,4.756588464332807
I68,5.467827179423262
I84,3.9262128295859666
I83,2.7276981141233057
I71,4.106892838441958
I17,3.5889904941933573
I25,3.406279753062524
I35,2.4709065309212956
I2,4.37742924211066
I47,2.9926818073582337
I87,4.649997351091101
I30,3.164051398831606
I10,3.2099621709558956
I22,3.6093141033090568
I57,5.747817472815061
I49,3.5761718810126437
I80,3.7829408850388004
I73,3.7334760671260665
I20,6.515835178489341
I12,3.101613555140296
I37,1.919960351051326
I99,5.072916753376122
I86,4.797608711668253
I38,2.759006807899971
I97,2.965391956466152
I18,3.1888045833701884
I23,3.6594521276467726
I31,5.2022975462002625
I6,4.606055892157574
I7,3.525260039865351
I4,1.7543022973706504
I43,3.2446353662624925
I96,4.455550296999749
I15,5.059494058970771
I91,4.046841181256676
I65,4.092395244289025
I39,3.8057061412362865
I42,3.0313572763254184
I24,4.559589441005853
I64,3.430366420338042
I89,3.908406229521523
I92,4.355196000995833
I11,3.6228073002464525
I33,3.3905599624874934
I8,3.5533681442158125
I52,3.517924075310667
I93,5.805964007240075
I59,5.705909628857296
I76,3.9466015875330296
I77,2.7092990532985084
I81,3.9222100423357054
I78,3.3764182228898454
I53,2.9911103755732182
I95,3.6044165569985394
I3,5.184441176683055
I36,2.932380737905813
I41,5.549496265287131
I54,3.08503799050799
I56,4.663055818994517
I44,3.8193769980425456
I29,4.084861699635818
I1,2.8929342506145788
I85,4.9502322571218835
I28,3.076344277036121
I74,4.748286567503148
I100,6.221117105375676
I98,4.978203626952292
I94,5.101513252363448
I21,4.234088220152031
I13,3.3237461053620097
I32,3.624406921130942
I79,4.358261762167853
I48,2.8480141143610593
I27,4.674755720900728
I69,5.42956479078236
I70,4.436472797203817
I51,2.293968743198051
I55,3.9376904764431804
I88,3.697268024552377
I82,3.930005923145459
I9,3.535548000906717
I5,4.5291246888110495
I14,4.164458817276269
I62,6.648991070717856
I63,4.065239610196162
I60,2.9421914523055896
I16,3.9897145056092254
I66,5.877084448143426
I50,3.6031500427333
I90,2.9054721203974863
I75,6.170270861330943
I26,2.6517950896135276
I34,3.5987419394052385
I45,3.1056599237043345
I58,3.3266465760563046
I46,3.1314856821279506
